Title,Price,Rating,Image
"Samsung Galaxy Book2 (NP750) Intel 12th Gen core i5 39.6cm (15.6"") FHD Thin & Light Laptop (8 GB/512 GB/Windows 11/MS Office/Backlit Keyboard/Finger Print Reader/Silver/1.55Kg), NP750XED-KC1IN","₹49,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71VETao+NEL._AC_SX148_SY213_QL70_.jpg
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU","₹31,849",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71SAR-9EsrL._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.61Kg), 82R400ERIN","₹38,500",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_SX148_SY213_QL70_.jpg
"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU","₹46,890",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71MAoeAkHUL._AC_SX148_SY213_QL70_.jpg
"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & Light, Intel Iris Xᵉ Graphics, Dual Speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU","₹39,599",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Hn-FM7yAL._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad Slim 3 Intel Core i7 11th Gen 15.6"" (39.62cm) FHD Laptop (16GB/512GB SSD/Win 11/Office 2021/2 Years Warranty/Arctic Grey/1.65Kg), 82H803B6IN","₹52,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51D0u37wUuL._AC_SX148_SY213_QL70_.jpg
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU","₹49,649",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71RMwJEg12L._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 6800H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win11/Office/NVIDIA RTX 3050 4GB/RGB Keyboard/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg),82SB00Y8IN","₹59,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81u-5gRjEXL._AC_SX148_SY213_QL70_.jpg
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG","₹32,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/51KL3aOZ0tL._AC_SX148_SY213_QL70_.jpg
"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","₹35,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg
